date,open,high,low,close,volume,oi
2019-04-15 14:20:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:21:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:22:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:23:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:24:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:25:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:26:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:27:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:28:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:29:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:30:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:31:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:32:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:33:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:34:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:35:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:36:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:37:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:38:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:39:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:40:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:41:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:42:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:43:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:44:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:45:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:46:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:47:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:48:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:49:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:50:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:51:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:52:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:53:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:54:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:55:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:56:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:57:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:58:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 14:59:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:00:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:01:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:02:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:03:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:04:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:05:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:06:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:07:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:08:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:09:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:10:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:11:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:12:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:13:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:14:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:15:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:16:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:17:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:18:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:19:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:20:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:21:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:22:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:23:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:24:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:25:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:26:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:27:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:28:00,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-15 15:29:01,1176.15,1176.15,1176.15,1176.15,0,20
2019-04-16 15:12:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:13:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:14:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:15:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:16:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:17:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:18:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:19:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:20:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:21:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:22:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:23:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:24:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:25:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:26:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:27:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:28:00,750.00,750.00,750.00,750.00,0,20
2019-04-16 15:29:01,750.00,750.00,750.00,750.00,0,20
2019-04-18 10:00:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:01:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:02:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:03:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:04:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:05:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:06:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:07:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:08:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:09:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:10:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:11:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:12:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:13:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:14:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:15:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:16:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:17:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:18:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:19:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:20:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:21:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:22:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:23:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:24:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:25:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:26:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:27:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:28:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:29:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:30:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:31:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:32:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:33:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:34:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:35:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:36:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:37:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:38:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:39:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:40:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:41:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:42:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:43:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:44:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:45:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:46:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:47:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:48:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:49:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:50:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:51:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:52:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:53:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:54:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:55:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:56:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:57:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:58:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 10:59:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:00:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:01:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:02:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:03:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:04:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:05:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:06:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:07:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:08:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:09:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:10:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:11:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:12:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:13:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:14:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:15:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:16:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:17:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:18:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:19:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:20:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:21:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:22:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:23:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:24:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:25:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:26:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:27:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:28:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:29:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:30:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:31:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:32:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:33:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:34:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:35:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:36:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:37:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:38:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:39:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:40:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:41:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:42:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:43:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:44:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:45:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:46:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:47:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:48:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:49:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:50:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:51:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:52:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:53:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:54:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:55:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:56:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:57:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:58:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 11:59:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:00:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:01:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:02:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:03:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:04:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:05:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:06:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:07:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:08:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:09:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:10:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:11:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:12:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:13:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:14:00,870.90,870.90,870.90,870.90,0,20
2019-04-18 12:15:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:16:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:17:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:18:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:19:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:20:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:21:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:22:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:23:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:24:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:25:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:26:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:27:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:28:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:29:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:30:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:31:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:32:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:33:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:34:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:35:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:36:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:37:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:38:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:39:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:40:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:41:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:42:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:43:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:44:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:45:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:46:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:47:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:48:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:49:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:50:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:51:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:52:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:53:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:54:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:55:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:56:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:57:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:58:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 12:59:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:00:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:01:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:02:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:03:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:04:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:05:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:06:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:07:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:08:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:09:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:10:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:11:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:12:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:13:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:14:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:15:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:16:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:17:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:18:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:19:00,870.90,870.90,870.90,870.90,0,0
2019-04-18 13:20:00,870.90,961.95,870.90,961.95,20,40
2019-04-18 13:21:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:22:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:23:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:24:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:25:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:26:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:27:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:28:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:29:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:30:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:31:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:32:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:33:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:34:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:35:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:36:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:37:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:38:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:39:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:40:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:41:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:42:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:43:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:44:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:45:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:46:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:47:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:48:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:49:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:50:00,961.95,961.95,961.95,961.95,0,40
2019-04-18 13:51:00,961.95,961.95,961.95,961.95,0,40
