date,open,high,low,close,volume,oi
2019-02-01 13:26:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:27:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:28:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:29:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:30:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:31:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:32:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:33:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:34:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:35:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:36:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:37:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:38:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:39:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:40:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:41:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:42:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:43:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:44:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:45:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:46:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:47:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:48:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:49:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:50:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:51:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:52:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:53:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:54:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:55:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:56:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:57:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:58:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 13:59:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:00:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:01:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:02:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:03:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:04:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:05:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:06:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:07:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:08:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:09:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:10:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:11:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:12:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:13:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:14:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:15:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:16:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:17:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:18:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:19:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:20:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:21:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:22:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:23:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:24:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:25:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:26:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:27:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:28:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:29:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:30:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:31:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:32:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:33:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:34:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:35:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:36:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:37:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:38:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:39:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:40:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:41:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:42:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:43:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:44:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:45:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:46:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:47:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:48:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:49:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:50:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:51:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:52:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:53:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:54:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:55:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:56:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:57:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:58:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 14:59:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:00:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:01:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:02:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:03:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:04:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:05:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:06:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:07:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:08:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:09:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:10:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:11:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:12:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:13:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:14:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:15:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:16:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:17:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:18:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:19:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:20:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:21:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:22:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:23:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:24:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:25:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:26:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:27:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:28:00,746.55,746.55,746.55,746.55,0,0
2019-02-01 15:29:01,746.55,746.55,746.55,746.55,0,0
